,article_num,surprisal
0,8,10486.88344990462
1,1,7800.635177252581
2,5,6026.70542081428
3,12,7922.575325225247
4,11,10555.757016696269
5,32,12438.431512908544
6,26,3237.7227973747067
7,28,11902.942275580717
8,4,13541.730071848491
9,16,6435.837465437129
10,19,11796.954883713275
11,25,8223.33423888078
12,21,5920.406055961736
13,31,4990.036233276594
14,10,6274.447265431285
15,29,9645.81354325544
16,15,8858.562107519247
17,24,5964.3807051633485
18,14,6847.2401508828625
19,13,8223.33423888078
20,17,7871.815405404195
21,3,5537.802304584533
22,18,4670.796179948375
23,30,9997.85994687851
24,7,9645.81354325544
25,27,6836.603415351827
26,9,8055.621612794697
27,6,5023.5689381007105
28,23,5086.27243997436
29,2,6183.610497362912
30,22,6537.567563389661
31,20,5537.802304584533
